epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,27.6018,1.07632,5.3366,0.95417,0.00033,0.05728,0.00086,0.00065,0.86474,4.18201,0.84717,0.00123188,0.000410628,0.00123188,0.000410628,0.00123188,0.000410628,0.00123188,0.000410628
2,47.4528,0.92352,3.87561,0.88569,0.39907,0.4227,0.42529,0.3354,0.84078,2.53213,0.85853,0.00242046,0.000806819,0.00242046,0.000806819,0.00242046,0.000806819,0.00242046,0.000806819
3,64.1719,0.86342,2.91717,0.87499,0.62465,0.67152,0.69048,0.53999,0.82413,1.7636,0.8584,0.00354716,0.00118239,0.00354716,0.00118239,0.00354716,0.00118239,0.00354716,0.00118239
4,80.6388,0.84645,2.53972,0.86316,0.8055,0.7295,0.83069,0.65064,0.78527,1.44815,0.85376,0.00347156,0.00115719,0.00347156,0.00115719,0.00347156,0.00115719,0.00347156,0.00115719
5,97.7047,0.77137,2.08973,0.86193,0.88354,0.80224,0.9086,0.71747,0.75653,1.27251,0.84214,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625
6,114.157,0.76714,1.91045,0.8434,0.95732,0.84169,0.9291,0.74569,0.70438,1.10697,0.83546,0.00328594,0.00109531,0.00328594,0.00109531,0.00328594,0.00109531,0.00328594,0.00109531
7,129.803,0.73072,1.66883,0.85013,0.95182,0.86827,0.95061,0.76727,0.69509,0.97967,0.83021,0.00319313,0.00106437,0.00319313,0.00106437,0.00319313,0.00106437,0.00319313,0.00106437
8,140.186,0.72368,1.55091,0.83522,0.9446,0.90765,0.95586,0.76379,0.69863,0.81788,0.83271,0.00310031,0.00103344,0.00310031,0.00103344,0.00310031,0.00103344,0.00310031,0.00103344
9,150.394,0.7015,1.46075,0.84115,0.94841,0.92617,0.96231,0.77545,0.67225,0.69046,0.82743,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025
10,161.266,0.68748,1.30737,0.82571,0.95213,0.91077,0.96701,0.78384,0.66823,0.58802,0.82302,0.00291469,0.000971562,0.00291469,0.000971562,0.00291469,0.000971562,0.00291469,0.000971562
11,174.878,0.68647,1.24311,0.83184,0.9855,0.91234,0.9683,0.79273,0.64813,0.53508,0.82522,0.00282187,0.000940625,0.00282187,0.000940625,0.00282187,0.000940625,0.00282187,0.000940625
12,191.58,0.67929,1.17239,0.83642,0.97348,0.92307,0.96848,0.78678,0.67435,0.52071,0.82644,0.00272906,0.000909688,0.00272906,0.000909688,0.00272906,0.000909688,0.00272906,0.000909688
